Affiliation,PrefClassYear,Degrees,StateOrProvince,Country
Alumni,1969.0,Geop Engineer '69,VT,
Alumni,1990.0,BSc Geop Eng '90,TX,
Alumni,2019.0,"BSc Geop Eng '19, MSc Eng & Tech Mgmt '21",TX,
Alumni,1984.0,"BSc Geop Eng '84, MSc Math & Comp Sci '90",CO,
Alumni,2014.0,PhD Geop '14,TX,
Alumni,1976.0,BSc Geop Eng '76,TX,
Alumni,2012.0,BSc Geop Eng '12,CO,
Alumni,1977.0,BSc Geop Eng '77,TX,
Alumni,1963.0,"Geop Engineer '63, MSc Min Ec '86",OK,
Alumni,1986.0,BSc Geop Eng '86,TX,
Alumni,1983.0,BSc Geop Eng '83,CA,
Alumni,1985.0,BSc Geop Eng '85,UT,
Alumni,1960.0,MSc Geop '60,CO,
Alumni,1974.0,PhD Geop '74,OK,
Alumni,1981.0,BSc Geop Eng '81,TX,
Alumni,1993.0,BSc Geop Eng '93,CO,
Alumni,1969.0,"Geol Engineer '69, MSc Geop '77",FL,
Alumni,1997.0,BSc Geop Eng '97,FL,
Alumni,1978.0,BSc Geop Eng '78,TX,
Alumni,2012.0,BSc Geop Eng '12,CO,
Alumni,2010.0,BSc Geop Eng '10,KS,
Alumni,1971.0,BSc Geop Eng '71,CO,
Alumni,1979.0,"BSc Geol Eng '79, BSc Geop Eng '79",TX,
Alumni,1971.0,Geop Engineer '71,OK,
Alumni,1981.0,MSc Geop '81,CO,
Alumni,1983.0,BSc Geop Eng '83,CA,
Alumni,1980.0,BSc Geop Eng '80,CO,
Alumni,2000.0,BSc Geop Eng '00,CO,
Alumni,2001.0,BSc Geop Eng '01,CO,
Alumni,1976.0,"BSc Geop Eng '76, MSc Geop '84, PhD Geop '97",CO,
Alumni,1961.0,"Geop Engineer '61, MSc Geop '69",CA,
Alumni,1983.0,BSc Geop Eng '83,CO,
Alumni,1982.0,BSc Geop Eng '82,CO,
Alumni,1986.0,MSc Geop '86,LA,
Alumni,1979.0,BSc Geop Eng '79,TX,
Alumni,1958.0,Geop Engineer '58,FL,
Alumni,1976.0,BSc Geop Eng '76,CO,
Alumni,2005.0,BSc Geop Eng '05,CO,
Alumni,2020.0,BSc Geop Eng '20,CA,
Alumni,1950.0,Geop Engineer '50,TX,
Alumni,1953.0,MSc Geop '53,CA,
Alumni,1983.0,PhD Geop '83,,Thailand
Alumni,2012.0,MSc Geop '12,,Kazakhstan
Alumni,2017.0,BSc Geop Eng '17,Alberta,Canada
Alumni,1985.0,BSc Geop Eng '85,CO,
Alumni,2021.0,BSc Geop Eng '21,CO,
Alumni,1953.0,Geop Engineer '53,CO,
Alumni,1979.0,BSc Geop Eng '79,CO,
Alumni,1956.0,PhD Geop Eng '56,TX,
Alumni,1970.0,BSc Geop Eng '70,CO,
Alumni,2013.0,MSc Geop '13,TX,
Alumni,1967.0,Geop Engineer '67,NM,
Alumni,1989.0,BSc Geop Eng '89,CO,
Alumni,1983.0,BSc Geop Eng '83,CO,
Alumni,2015.0,BSc Geop Eng '15,MD,
Alumni,1999.0,BSc Geop Eng '99,TX,
Alumni,1992.0,BSc Geop Eng '92,CO,
Alumni,1986.0,BSc Geop Eng '86,CO,
Alumni,2007.0,BSc Geop Eng '07,TX,
Alumni,2016.0,BSc Geop Eng '16,TX,
Alumni,1984.0,BSc Geop Eng '84,TX,
Alumni,1971.0,BSc Geop Eng '71,CA,
Alumni,1970.0,Geop Engineer '70,KY,
Alumni,1999.0,MSc Geop '99,TX,
Alumni,1983.0,BSc Geop Eng '83,CO,
Alumni,2014.0,"BSc Geop Eng '14, MSc Eng & Tech Mgmt '15",CO,
Alumni,1979.0,BSc Geop Eng '79,CO,
Alumni,2017.0,MSc Geop '17,CO,
Alumni,1997.0,PhD Geop '97,CO,
Alumni,1986.0,"BSc Geop Eng '86, MSc Geop '88",CA,
Alumni,1980.0,MSc Geop '80,ID,
Alumni,1991.0,BSc Geop Eng '91,TX,
Alumni,1983.0,BSc Geop Eng '83,CO,
Alumni,2009.0,"BSc Geop Eng '09, Pro M Pet Res Sys '13",WV,
Alumni,2016.0,BSc Geop Eng '16,WA,
Alumni,1982.0,BSc Geop Eng '82,TX,
Alumni,1996.0,BSc Geop Eng '96,TX,
Alumni,2015.0,BSc Geop Eng '15,AZ,
Alumni,1978.0,BSc Geop Eng '78,CO,
Alumni,1981.0,MSc Geop '81,,United Kingdom
Alumni,2018.0,"BSc Geop Eng '18, MSc Geol '20",TX,
Alumni,2017.0,BSc Geop Eng '17,NJ,
Alumni,2020.0,BSc Geop Eng '20,NE,
Alumni,2017.0,MSc Geop '17,,Thailand
Alumni,1973.0,PhD Geop '73,TX,
Alumni,1973.0,BSc Geop Eng '73,AZ,
Alumni,1985.0,BSc Geop Eng '85,MA,
Alumni,2019.0,BSc Geop Eng '19,AK,
Alumni,2010.0,"BSc Pet Eng '10, Pro M Pet Res Sys '12",OK,
Alumni,1986.0,"BSc Geop Eng '86, MSc Geop Eng '89, Geol Engineer '02",CA,
Alumni,1959.0,Geop Engineer '60,CO,
Alumni,2015.0,BSc Geop Eng '15,CA,
Alumni,1979.0,BSc Geop Eng '79,TX,
Alumni,1981.0,BSc Geop Eng '81,MT,
Alumni,2001.0,PhD Geop '01,TX,
Alumni,1955.0,Geop Engineer '55,CO,
Alumni,2018.0,PhD Geop '18,CO,
Alumni,1986.0,BSc Geop Eng '86,MT,
Alumni,2018.0,PhD Geop '18,TX,
Alumni,1983.0,BSc Geop Eng '83,NC,
Alumni,1981.0,BSc Geop Eng '81,CO,
Alumni,1979.0,MSc Geop '79,TX,
Alumni,1977.0,BSc Geop Eng '77,CO,
Alumni,1984.0,BSc Geop Eng '84,WA,
Alumni,2003.0,MSc Geop Eng '03,TX,
Alumni,2016.0,MSc Geop '16,CO,
Alumni,1989.0,BSc Geop Eng '89,CO,
Alumni,2013.0,PhD Geop '13,,Italy
Alumni,1983.0,BSc Geop Eng '83,CO,
Alumni,1953.0,Geop Engineer '53,TX,
Alumni,1985.0,BSc Geop Eng '85,CO,
Alumni,1979.0,MSc Geop '79,TX,
Alumni,1976.0,BSc Geop Eng '76,TX,
Alumni,1952.0,Geop Engineer '52,TX,
Alumni,2009.0,BSc Geop Eng '09,,Netherlands
Alumni,1951.0,Geop Engineer '51,DE,
Alumni,2016.0,BSc Geop Eng '16,TX,
Alumni,2002.0,MSc Geop '02,TX,
Alumni,1985.0,"BSc Geol Eng '85, Geop Engineer '87",CO,
Alumni,1994.0,"BSc Geop Eng '94, MSc Geop '02",CO,
Alumni,1952.0,Geop Engineer '52,CA,
Alumni,1975.0,BSc Geop Eng '75,TX,
Alumni,1985.0,BSc Geop Eng '85,CO,
Alumni,2014.0,"BSc Geop Eng '14, MSc Geop '16",CA,
Alumni,1978.0,"BSc Geop Eng '78, MSc Geop '80",NY,
Alumni,1968.0,Geop Engineer '68,CO,
Alumni,2005.0,BSc Geop Eng '05,,Saudi Arabia
Alumni,1979.0,MSc Geop '79,TX,
Alumni,1969.0,Geop Engineer '69,CO,
Alumni,1996.0,MSc Geop '96,TX,
Alumni,1980.0,BSc Geop Eng '80,CO,
Alumni,2014.0,"BSc Geop Eng '14, MSc Geop '19",CO,
Alumni,1980.0,BSc Geop Eng '80,TX,
Alumni,1986.0,"BSc Geop Eng '86, BSc Eng '87",NJ,
Alumni,2000.0,MSc Geop '00,TX,
Alumni,2017.0,BSc Geop Eng '17,CO,
Alumni,2021.0,BSc Geop Eng '21,CO,
Alumni,1967.0,Geop Engineer '67,FL,
Alumni,1999.0,BSc Geop Eng '99,CO,
Alumni,1983.0,MSc Geop '83,TX,
Alumni,1981.0,BSc Geop Eng '81,CO,
Alumni,2007.0,PhD Geop '07,CO,
Alumni,1982.0,BSc Geop Eng '82,CO,
Alumni,2005.0,BSc Geop Eng '05,CO,
Alumni,1980.0,BSc Geop Eng '80,CA,
Alumni,1979.0,MSc Geop '79,MA,
Alumni,1986.0,BSc Geop Eng '86,TX,
Alumni,1970.0,Geop Engineer '70,TX,
Alumni,1999.0,"BSc Geop Eng '99, MSc Geop Eng '04",CO,
Alumni,2010.0,BSc Geop Eng '10,TX,
Alumni,1969.0,PhD Geop Eng '69,CO,
Alumni,2016.0,MSc Geop '16,TX,
Alumni,1996.0,"MSc Geop '96, PhD Geop '01",CA,
Alumni,1978.0,BSc Geop Eng '78,TX,
Alumni,1986.0,BSc Geop Eng '86,CA,
Alumni,2013.0,MSc Geop '13,TX,
Alumni,1978.0,BSc Geop Eng '78,FL,
Alumni,2020.0,BSc Geop Eng '20,ID,
Alumni,2020.0,BSc Geop Eng '20,CO,
Alumni,2002.0,BSc Geop Eng '02,CO,
Alumni,1984.0,BSc Geop Eng '84,CO,
Alumni,1969.0,Geop Engineer '69,CA,
Alumni,1998.0,BSc Geop Eng '98,OK,
Alumni,1999.0,"MSc Geop '90, PhD Geop '99",ID,
Alumni,1983.0,BSc Geop Eng '83,CO,
Alumni,1995.0,MSc Geop '95,TX,
Alumni,1986.0,BSc Geop Eng '86,CO,
Alumni,2017.0,BSc Geop Eng '17,KS,
Alumni,2002.0,PhD Geop '02,TX,
Alumni,1951.0,Geop Engineer '51,CO,
Alumni,1975.0,MSc Geop '75,CO,
Alumni,1984.0,Geop Engineer '84,CO,
Alumni,1975.0,MSc Geop '75,TX,
Alumni,1960.0,Geop Engineer '60,TX,
Alumni,1983.0,BSc Geop Eng '83,ID,
Alumni,2013.0,MSc Geop '13,TX,
Alumni,2015.0,"MSc Geop '15, PhD Geop '18",TX,
Alumni,2013.0,MSc Geop '13,,Brazil
Alumni,1978.0,BSc Geop Eng '78,TX,
Alumni,2009.0,PhD Geop '09,TX,
Alumni,2009.0,BSc Geop Eng '09,CO,
Alumni,1953.0,Geop Engineer '53,CO,
Alumni,1990.0,MSc Geop Eng '90,,Venezuela
Alumni,1996.0,BSc Geop Eng '96,Alberta,Canada
Alumni,1985.0,"BSc Geop Eng '85, MSc Ecol Eng '88",CO,
Alumni,2005.0,BSc Geop Eng '05,TX,
Alumni,2020.0,MSc Geop '20,CO,
Alumni,2019.0,"BSc Geop Eng '19, MSc Geop '20",CO,
Alumni,2017.0,BSc Geop Eng '17,TX,
Alumni,2017.0,Pro M Pet Res Sys '17,,Thailand
Alumni,1988.0,BSc Geop Eng '88,,Australia
Alumni,1986.0,MSc Geop '86,CA,
Alumni,1988.0,"BSc Geop Eng '88, BSc Pet Eng '88",LA,
Alumni,1968.0,"MSc Geop '68, PhD Geop '70",TX,
Alumni,1980.0,BSc Geop Eng '80,CO,
Alumni,1990.0,BSc Geop Eng '90,TX,
Alumni,1982.0,PhD Geop '82,CO,
Alumni,2016.0,BSc Geop Eng '16,CO,
Alumni,2004.0,MSc Geop '04,TX,
Alumni,2017.0,Pro M Pet Res Sys '17,CO,
Alumni,1972.0,"BSc Geop Eng '72, MSc Geop '77",WA,
Alumni,1970.0,BSc Geop Eng '70,AZ,
Alumni,1978.0,"BSc Geop Eng '78, MSc Geop '81",CA,
Alumni,1976.0,BSc Geop Eng '76,TX,
Alumni,1992.0,Geop Engineer '92,TX,
Alumni,2019.0,BSc Geop Eng '19,CO,
Alumni,1983.0,BSc Geop Eng '83,CO,
Alumni,1975.0,BSc Geop Eng '75,TX,
Alumni,1985.0,BSc Geop Eng '85,CO,
Alumni,1997.0,BSc Geop Eng '97,TX,
Alumni,2021.0,BSc Geop Eng '21,TX,
Alumni,1983.0,BSc Geop Eng '83,TX,
Alumni,2019.0,BSc Geop Eng '19,CO,
Alumni,1997.0,BSc Geop Eng '97,CA,
Alumni,1985.0,BSc Geop Eng '85,CA,
Alumni,2000.0,BSc Geop Eng '00,VA,
Alumni,1970.0,BSc Geop Eng '70,WA,
Alumni,1976.0,BSc Geop Eng '76,MI,
Alumni,1965.0,Geop Engineer '65,TX,
Alumni,1955.0,Geop Engineer '55,CA,
Alumni,1980.0,"BSc Geop Eng '80, MSc Geop '82",WA,
Alumni,2016.0,BSc Geop Eng '16,CO,
Alumni,1980.0,BSc Geop Eng '80,CO,
Alumni,1968.0,Geop Engineer '68,NV,
Alumni,2012.0,BSc Geop Eng '12,CO,
Alumni,1982.0,BSc Geop Eng '82,CO,
Alumni,1984.0,BSc Geop Eng '84,CO,
Alumni,1973.0,BSc Geop Eng '73,CO,
Alumni,1975.0,"BSc Geop Eng '75, PhD Appl Phy '03",UT,
