Affiliation,PrefClassYear,Degrees,State,Country,Latitude,Longitude
Alumni,1989.0,BSc,CO,United States,39.5501,-105.7821
Alumni,1983.0,BSc,CO,United States,39.5501,-105.7821
Alumni,2015.0,BSc,MD,United States,39.0458,-76.6413
Alumni,1999.0,BSc,TX,United States,31.0545,-97.5635
Alumni,1992.0,BSc,CO,United States,39.5501,-105.7821
Alumni,1986.0,BSc,CO,United States,39.5501,-105.7821
Alumni,2007.0,BSc,TX,United States,31.0545,-97.5635
Alumni,2016.0,BSc,TX,United States,31.0545,-97.5635
Alumni,1984.0,BSc,TX,United States,31.0545,-97.5635
Alumni,1971.0,BSc,CA,United States,36.7783,-119.4179
Alumni,1970.0,,KY,United States,37.669,-84.6514
Alumni,1999.0,MSc,TX,United States,31.0545,-97.5635
Alumni,1983.0,BSc,CO,United States,39.5501,-105.7821
Alumni,2014.0,BSc,CO,United States,39.5501,-105.7821
Alumni,2014.0,MSc,CO,United States,39.5501,-105.7821
Alumni,1979.0,BSc,CO,United States,39.5501,-105.7821
Alumni,2017.0,MSc,CO,United States,39.5501,-105.7821
Alumni,1997.0,PhD,CO,United States,39.5501,-105.7821
Alumni,1986.0,BSc,CA,United States,36.7783,-119.4179
Alumni,1986.0,MSc,CA,United States,36.7783,-119.4179
Alumni,1980.0,MSc,ID,United States,44.0682,-114.742
Alumni,1991.0,BSc,TX,United States,31.0545,-97.5635
Alumni,1983.0,BSc,CO,United States,39.5501,-105.7821
Alumni,2009.0,BSc,WV,United States,38.4912,-80.954
Alumni,2016.0,BSc,WA,United States,47.4009,-121.4905
Alumni,1982.0,BSc,TX,United States,31.0545,-97.5635
Alumni,1996.0,BSc,TX,United States,31.0545,-97.5635
Alumni,2015.0,BSc,AZ,United States,34.0489,-111.0937
Alumni,1978.0,BSc,CO,United States,39.5501,-105.7821
Alumni,1981.0,MSc,,United Kingdom,53.91477348053706,-2.8531353951805545
Alumni,2018.0,BSc,TX,United States,31.0545,-97.5635
Alumni,2018.0,MSc,TX,United States,31.0545,-97.5635
Alumni,2017.0,BSc,NJ,United States,40.2989,-74.521
Alumni,2020.0,BSc,NE,United States,41.1254,-98.2681
Alumni,2017.0,MSc,,Thailand,15.01697499141648,101.00613354626108
Alumni,1973.0,PhD,TX,United States,31.0545,-97.5635
Alumni,1973.0,BSc,AZ,United States,34.0489,-111.0937
Alumni,1985.0,BSc,MA,United States,42.2596,-71.8083
Alumni,2019.0,BSc,AK,United States,64.2008,-149.4937
Alumni,2010.0,BSc,OK,United States,35.5653,-96.9289
Alumni,1986.0,BSc,CA,United States,36.7783,-119.4179
Alumni,1986.0,MSc,CA,United States,36.7783,-119.4179
Alumni,1959.0,,CO,United States,39.5501,-105.7821
Alumni,2015.0,BSc,CA,United States,36.7783,-119.4179
Alumni,1979.0,BSc,TX,United States,31.0545,-97.5635
Alumni,1981.0,BSc,MT,United States,46.9219,-110.4544
Alumni,2001.0,PhD,TX,United States,31.0545,-97.5635
Alumni,1955.0,,CO,United States,39.5501,-105.7821
Alumni,2018.0,PhD,CO,United States,39.5501,-105.7821
Alumni,1986.0,BSc,MT,United States,46.9219,-110.4544
Alumni,2018.0,PhD,TX,United States,31.0545,-97.5635
Alumni,1983.0,BSc,NC,United States,35.6301,-79.8064
Alumni,1981.0,BSc,CO,United States,39.5501,-105.7821
Alumni,1979.0,MSc,TX,United States,31.0545,-97.5635
Alumni,1977.0,BSc,CO,United States,39.5501,-105.7821
Alumni,1984.0,BSc,WA,United States,47.4009,-121.4905
Alumni,2003.0,MSc,TX,United States,31.0545,-97.5635
Alumni,2016.0,MSc,CO,United States,39.5501,-105.7821
Alumni,1989.0,BSc,CO,United States,39.5501,-105.7821
Alumni,2013.0,PhD,,Italy,42.751183052964265,12.140788372235871
Alumni,1983.0,BSc,CO,United States,39.5501,-105.7821
Alumni,1953.0,,TX,United States,31.0545,-97.5635
Alumni,1985.0,BSc,CO,United States,39.5501,-105.7821
Alumni,1979.0,MSc,TX,United States,31.0545,-97.5635
Alumni,1976.0,BSc,TX,United States,31.0545,-97.5635
Alumni,1952.0,,TX,United States,31.0545,-97.5635
Alumni,2009.0,BSc,,Netherlands,52.298700374441786,5.512217100965399
Alumni,1951.0,,DE,United States,38.9108,-75.5277
Alumni,2016.0,BSc,TX,United States,31.0545,-97.5635
Alumni,2002.0,MSc,TX,United States,31.0545,-97.5635
Alumni,1985.0,BSc,CO,United States,39.5501,-105.7821
Alumni,1994.0,BSc,CO,United States,39.5501,-105.7821
Alumni,1994.0,MSc,CO,United States,39.5501,-105.7821
Alumni,1952.0,,CA,United States,36.7783,-119.4179
